ID,COORD_E,COORD_N,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,ESTAB_SA,ENDERECO,BAIRRO,TELEFONE,CEP,CNES,SA_DEPADM,DEPADM,SA_TIPO,TIPO,SA_CLASSE,CLASSE,LEITOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
791,347689.21,7401460.58,355030828000097,3550308005140,28,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,V CISPER-UBS,"CACULE,R,79",V CISPER,25465100.000000,3817220.000000,2079070.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
792,347473.48,7400094.96,355030828000090,3550308005140,28,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,HUMBERTO CERRUTI-UBS PQ. BOTURUSSU,"OLAVO EGIDIO SOUZA ARANHA,AV,630",V CISPER,29439991.000000,3822000,2752247.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793,347443.69,7402283.86,355030828000143,3550308005139,28,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,JD KERALUX-UBS,"LUCAS GONCALVES,R, 13",ERM MATARAZZO,65466177.000000,3828060.000000,2787547.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
794,347661.31,7401462.51,355030828000097,3550308005140,28,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,JD VITORIA-UBS,"LAJEDO,R, 123",CID TIRADENTES,69642685.000000,3817250.000000,2787954.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
795,348465.72,7399995.05,355030828000058,3550308005192,28,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,"PEDRO DE SOUZA CAMPOS,DR-UBS MANGABEIRA","PAULO BIFANO ALVES,R,764",PQ. BOTURUSSU,65464111.000000,3801000,4050002.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
796,328631.13,7402070.38,355030829000128,3550308005118,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 2,V RAMOS-UBS FREGUESIA DO O,"VICENTE JORGE,R,80",FREGUESIA DO O,39240208.000000,2759100,2027062.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
797,326297.94,7400842.15,355030829000008,3550308005116,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 2,JD GUANABARA- NIR,"PETRONIO PORTELA,MIN,AV,663",FREGUESIA DO O,39752134.000000,2959000,2787407.000000,1,Municipal,39,NUCLEO INTEGRADO DE REABILITACAO,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
797,326297.94,7400842.15,355030829000008,3550308005116,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 2,JD GUANABARA-UBS ,"PETRONIO PORTELA,MIN,AV,663",FREGUESIA DO O,39752134.000000,2959000,2787407.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
798,325440.28,7404348.71,355030811000314,3550308005122,11,BRASILANDIA,3,FREGUESIA-BRASILANDIA,Norte,Norte 2,JD PAULISTANO-UBS,"ENCRUZILHADA DO SUL,R, 220",JD PAULISTANO,39722916.000000,2816010,2787679.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
799,327904.32,7400689.41,355030829000076,3550308005117,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 2,V PALMEIRAS(V BANCARIA)-UBS,"FRANCISCO LOTUFO,R,24",V PALMEIRA,39318242.000000,2727020,2789140.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,326026.55,7402675.94,355030829000115,3550308005119,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 2,V PROGRESSO-UBS (JD MONTE ALEGRE),"ANTONIO GENELE,R,30",JD MONTE ALEGRE,39922349.000000,2811021,2789213.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,326067.46,7401887.51,355030829000059,3550308005116,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 2,CRUZ DAS ALMAS-UBS,"FELICIANO DOMINGUES,PE,R,90",V  IORIO,39753531.000000,2965140,4049977.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,326641.89,7369641.01,355030830000331,3550308005285,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,JD NOVO HORIZONTE - UBS,"CARUANENSE,R,186",GRAJA+,,4857300.000000,6822991.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,327021.35,7353198.63,355030852000007,3550308005298,52,MARSILAC,20,PARELHEIROS,Sul,Sul 2,"LUCIANO BERGAMINI, DOM-UBS","ESTRADA DA LIGACAO,S/N",ZONA  RURAL MARSILAC,59751057.000000,5267000.000000,2786990.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,330691.37,7374168.18,355030830000121,3550308005304,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,GAIVOTAS-UBS,"SAO PAULO,AV, 23-A",JD GAIVOTA,59326799.000000,4849000,2787067.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805,328085.49,7373265.20,355030830000176,3550308005283,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,JD CASTRO ALVES-UBS,"JOAO PAULO BARRETO,R,131",JD. CASTRO ALVES,59712157.000000,4842150,2787253.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,329697.18,7372036.75,355030830000114,3550308005280,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,JD ELIANE-UBS,"HENRY ARTHUR JONES,R,201",JD. ELIANA,59315240.000000,4851120,2787369.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,327138.34,7370030.73,355030830000341,3550308005282,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,JD MIRNA-UBS,"JUVENAL HUDSON FERREIRA,DR,R,13",JD. MIRNA,55262114.000000,4856140,2787628.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808,328325.67,7370263.60,355030830000007,3550308005282,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,JD TRES CORACOES-UBS,"JOSE DE OLIVEIRA RAMOS,GEN,R,275",JD. TRES CORACiES,59315969.000000,,2787903.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,329905.68,7373008.33,355030830000233,3550308005279,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,PQ RES COCAIA INDEPENDENTE-UBS,"FILINTO MILANEZ,R,26",PQ. RESID. COCAIA,59310209.000000,4849040,2788403.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810,328360.69,7368341.89,355030830000303,3550308005303,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,VARGINHA-UBS,"HENRIQUE MUZZIO, R,152",JD VARGINHA,55263988.000000,4857040,2789299.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,326228.24,7370100.14,355030830000083,3550308005285,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,CHACARA DO CONDE - UBS,"CONSTELACAO DO ESQUADRO,R,5",JD. CAMPINAS,59386611.000000,4858010.000000,3992101,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812,332070.61,7370013.77,355030830000326,3550308005303,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,ALCINA PIMENTEL PIZA-UBS,"ITAQUAQUECETUBA,ESTR.,8855 (BELMIRA MARIM,AV.)",ILHA DO BORORE,59742289.000000,4846010,4049896.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,329546.53,7364531.40,355030830000327,3550308005303,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,CHACARA SANTO AMARO - UBS,"LUIS CARLOS ALMEIDA,R,51",CH-CARA SANTO AMARO,59749922.000000,4875120.000000,6090591.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
814,329529.84,7369059.81,355030830000481,3550308005303,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,CHACARA DO SOL - UBS,"JOAO CARLOS DE OLIVEIRA,R,3",CH-CARA DO SOL,59314151.000000,4855515.000000,6280188.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815,325999.65,7370876.70,355030830000350,3550308005285,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,VILA NATAL - UBS,"MARTA MARIA BERNARDES, PROF,AV, 246",VILA NATAL,,4863000.000000,6998186.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,354695.63,7393684.21,355030831000160,3550308005265,31,GUAIANASES,28,GUAIANASES,Leste,Leste 2,V COSMOPOLITA-UBS,"ALDEIA MARIA,R,258",GUAIANASES,65558583.000000,8421070.000000,2789310.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,357447.43,7393413.49,355030831000105,3550308005266,31,GUAIANASES,28,GUAIANASES,Leste,Leste 2,"CELSO AUGUSTO DANIEL,PREF-UBS","JORGE MARACCINI PONFILIO,R,S/N",CONJ.HAB.JUCEL.KUBIT,65567997.000000,8465050,3002926.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,355510.07,7395359.83,355030831000057,3550308005265,31,GUAIANASES,28,GUAIANASES,Leste,Leste 2,GUAIANAZES II-UBS,"CARLOS RUHL,CTE,R,189",GUAIANAZES,65578132.000000,8400130,4050010.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,357259.43,7394456.28,355030831000067,3550308005266,31,GUAIANASES,28,GUAIANASES,Leste,Leste 2,JD SOARES- NIR,"FELICIANO DE MENDONCA,R,496",JD. SOARES,25577022.000000,8460365.000000,4050045.000000,1,Municipal,39,NUCLEO INTEGRADO DE REABILITACAO,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,357259.43,7394456.28,355030831000067,3550308005266,31,GUAIANASES,28,GUAIANASES,Leste,Leste 2,JD SOARES-UBS ,"FELICIANO DE MENDONCA,R,496",JD. SOARES,25577022.000000,8460365.000000,4050045.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820,354096.03,7388904.44,355030833000055,3550308005275,32,IGUATEMI,30,SAO MATEUS,Leste,Leste 2,JD DAS LARANJEIRAS-UBS,"BENTO GUELFI, AV,1100",JD LARANJEIRAS,67317252.000000,8380460.000000,2787342.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,353109.00,7389622.24,355030833000014,3550308005275,32,IGUATEMI,30,SAO MATEUS,Leste,Leste 2,JD ROSELLI-UBS,"SIMAO NUNES,R,31",JD ROSELI,67315143.000000,8380490,2787741.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,352180.66,7389865.59,355030833000003,3550308005274,32,IGUATEMI,30,SAO MATEUS,Leste,Leste 2,PQ DA BOA ESPERANCA-UBS,"RAGUEB CHOHFI,AV,3826",JD AUGUSTO,67310669.000000,8375000.000000,2788276.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823,355345.63,7387569.35,355030833000111,3550308005276,32,IGUATEMI,30,SAO MATEUS,Leste,Leste 2,RECANTO VERDE SOL-UBS,"PEDRO ROMAZZANI, R,03",RECANTO VERDE SOL,61343271.000000,8381800,2788489.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,351784.30,7388322.67,355030833000073,3550308005306,32,IGUATEMI,30,SAO MATEUS,Leste,Leste 2,JD DA CONQUISTA II - UBS,"SOMOS TODOS IGUAIS,R, 330",S+O MATEUS,67353079.000000,8345360.000000,3219771.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,355192.08,7389902.07,355030833000213,3550308005276,32,IGUATEMI,30,SAO MATEUS,Leste,Leste 2,CDHU PALANQUE - UBS,"PONTE DA AMIZADE,R,2",JD PALANQUE,67353820.000000,8375000.000000,3219887.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,351784.30,7388322.67,355030833000073,3550308005306,32,IGUATEMI,30,SAO MATEUS,Leste,Leste 2,JD CONQUISTA III-UBS,"SOMOS TODOS IGUAIS,R, 330",S+O MATEUS,67342079.000000,08343000,3738647.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,337503.71,7389515.65,355030834000099,3550308005084,33,IPIRANGA,13,IPIRANGA,Sul,Sul 1,"JOAQUIM ROSSINI,DR-UBS","ALVARO FRAGOSO,R,480",V  CARIOCA,22734602.000000,04223000,2042959.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,335545.29,7392397.21,355030834000109,3550308005019,33,IPIRANGA,13,IPIRANGA,Sul,Sul 1,"OSWALDO MARASCA JUNIOR,DR-UBS","D PEDRO I,AV,594",V  MONUMENTO,2728619.000000,1552000,2042975.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,335815.01,7390133.92,355030834000008,3550308005043,33,IPIRANGA,13,IPIRANGA,Sul,Sul 1,S VICENTE DE PAULA-UBS,"VICENTE DA COSTA,R,289",IPIRANGA,2734592.000000,4266050,2788543.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,337165.91,7388734.74,355030834000134,3550308005084,33,IPIRANGA,13,IPIRANGA,Sul,Sul 1,ALMIRANTE DELAMARE - UBS,"MARIATH,ALM,R,62",V HELIOPOLIS,61628018.000000,4218040.000000,3385264.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,337269.22,7389519.79,355030834000078,3550308005084,33,IPIRANGA,13,IPIRANGA,Sul,Sul 1,VILA CARIOCA - UBS,"ANTONIO FREDERICO,R,117",IPIRANGA,,4224030.000000,5479517.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832,327788.39,7386739.84,355030835000138,3550308005050,34,ITAIM BIBI,11,PINHEIROS,Oeste,Oeste,MARIO FRANCISCO NAPOLITANO-UBS  MENINOPOLIS,"OSCAR GOMES CARDIM,R,134",VILA CORDEIRO,50961058.000000,4580040.000000,2027380.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,328047.55,7390409.50,355030835000059,3550308005050,34,ITAIM BIBI,11,PINHEIROS,Oeste,Oeste,JOSE DE BARROS MAGALDI-UBS,"SALVADOR CARDOSO,R,177",ITAIM BIBI,31686571.000000,4533050,2752301.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
834,358658.16,7399176.21,355030836000057,3550308005254,35,ITAIM PAULISTA,24,ITAIM PAULISTA,Leste,Leste 2,JD NELIA-UBS,"ITAJUIBE,R,1910",ITAIM PAULISTA,69633802.000000,8142000,2027526.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835,356979.97,7401031.45,355030836000231,3550308005249,35,ITAIM PAULISTA,24,ITAIM PAULISTA,Leste,Leste 2,ITAIM PAULISTA-UBS DR. JULIO DE GOUVEIA,"JOSE LEVI SOBRINHO,MAJ,PCA,139",ITAIM PAULISTA,25619443.000000,8110460,2046261.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,360426.95,7399998.11,355030836000244,3550308005255,35,ITAIM PAULISTA,24,ITAIM PAULISTA,Leste,Leste 2,CIDADE KEMEL-UBS,"KEMEL ADDAS,AV,1031",CIDADE KEMEL,69632346.000000,8554060.000000,2057131.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837,358518.23,7400025.01,355030836000001,3550308005251,35,ITAIM PAULISTA,24,ITAIM PAULISTA,Leste,Leste 2,JD CAMARGO NOVO- NIR,"BOIGUACU,R,51",JD. CAMARGO NOVO,29632610.000000,8120270,2057271.000000,1,Municipal,39,NUCLEO INTEGRADO DE REABILITACAO,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837,358518.23,7400025.01,355030836000001,3550308005251,35,ITAIM PAULISTA,24,ITAIM PAULISTA,Leste,Leste 2,JD CAMARGO NOVO-UBS ,"BOIGUACU,R,51",JD. CAMARGO NOVO,29632610.000000,8120270,2057271.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
