ID,COORD_E,COORD_N,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,ESTAB_SA,ENDERECO,BAIRRO,TELEFONE,CEP,CNES,SA_DEPADM,DEPADM,SA_TIPO,TIPO,SA_CLASSE,CLASSE,LEITOS,,,
523,346227.88,7398357.76,355030864000068,3550308005142,64,PONTE RASA,22,ERMELINO MATARAZZO,Leste,Leste 2,"MATHEUS SANTAMARIA,DR (JD POPULAR) - AMA","JAMES TORRES,AV,600",JD. POPULAR,27916421.000000,3670010,6135463.000000,1,Municipal,4,ASSISTÊNCIA MÉDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,
524,346227.88,7398357.76,355030864000068,3550308005142,64,PONTE RASA,22,ERMELINO MATARAZZO,Leste,Leste 2,"MATHEUS SANTAMARIA,DR (JD POPULAR) - UBS","JAMES TORRES,AV,600",JD. POPULAR,27916421.000000,3670010,4049993.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
525,347689.21,7401460.58,355030828000097,3550308005140,28,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,V CISPER-UBS,"CACULE,R,79",V CISPER,25465100.000000,3817220.000000,2079070.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
526,347649.07,7398284.22,355030864000015,3550308005143,64,PONTE RASA,22,ERMELINO MATARAZZO,Leste,Leste 2,JD TRES MARIAS-AMA,"BRENO ACIOLI,R,440",V  SAO FRANCISCO,62804388.000000,3676040,6135471.000000,1,Municipal,4,ASSISTÊNCIA MÉDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,
527,347649.07,7398284.22,355030864000015,3550308005143,64,PONTE RASA,22,ERMELINO MATARAZZO,Leste,Leste 2,JD TRES MARIAS-UBS,"BRENO ACIOLI,R,440",V  SAO FRANCISCO,62804388.000000,3676040,2774828.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
528,347833.10,7397761.64,355030864000052,3550308005143,64,PONTE RASA,22,ERMELINO MATARAZZO,Leste,Leste 2,BURGO PAULISTA -AMA ESPECIALIDADES,"JOSE SILVA ALCANTARA FILHO,R,1031",BURGO PAULISTA,22800080.000000,3680000.000000,6393608.000000,1,Municipal,49,AMA ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,
529,347833.10,7397761.64,355030864000052,3550308005143,64,PONTE RASA,22,ERMELINO MATARAZZO,Leste,Leste 2,BURGO PAULISTA-UBS,"JOSE SILVA ALCANTARA FILHO,R,210",PONTE RASA,62800080.000000,3680000,2752190.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
530,348583.82,7398666.23,355030864000063,3550308005141,64,PONTE RASA,22,ERMELINO MATARAZZO,Leste,Leste 2,"CARLOS OLIVALDO DE S LOPES MUNIZ,DR-UBS PONTE RASA","BARTOLOMEU SOARES,R,16",ALTO DA  PONTE RASA,61411744.000000,3749160.000000,2064820.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
531,347705.03,7399513.85,355030864000044,3550308005141,64,PONTE RASA,22,ERMELINO MATARAZZO,Leste,Leste 2,JD PENHA-UBS,"SAO MIGUEL,AV,4331",PONTE RASA,65465867.000000,3871000,2787687.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
532,347473.48,7400094.96,355030828000090,3550308005140,28,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,HUMBERTO CERRUTI-AMA PQ. BOTURUSSU,"OLAVO EGIDIO SOUZA ARANHA,AV,630",V CISPER,29439991.000000,3822000,6135439.000000,1,Municipal,4,ASSISTÊNCIA MÉDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,
533,347473.48,7400094.96,355030828000090,3550308005140,28,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,HUMBERTO CERRUTI-UBS PQ. BOTURUSSU,"OLAVO EGIDIO SOUZA ARANHA,AV,630",V CISPER,29439991.000000,3822000,2752247.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
534,348465.72,7399995.05,355030828000058,3550308005192,28,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,"PEDRO DE SOUZA CAMPOS,DR-UBS MANGABEIRA","PAULO BIFANO ALVES,R,764",PQ. BOTURUSSU,65464111.000000,3801000,4050002.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
535,348922.85,7397420.19,355030805000088,3550308005146,5,ARTUR ALVIM,21,PENHA,Leste,Leste 1,JD S NICOLAU-UBS,"REBELO DA SILVA,R,121",JD S NICOLAU,62802805.000000,3685000,2787806.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
536,349836.73,7399917.78,355030887000133,3550308005193,87,VILA JACUI,23,SAO MIGUEL,Leste,Leste 2,"THERSIO VENTURA, DR-UBS","ARRAIAL DE SANTA BARBARA, R,996",CIDADE PEDRO J NUNES,65451026.000000,8061360,2788659.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
537,349105.43,7401351.39,355030828000047,3550308005192,28,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,ERMELINO MATARAZZO-UBS,"ANTONIO DE FREITAS TOLEDO,R,175",ERM MATARAZZO,65458235.000000,03810110,2065266.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
538,347661.31,7401462.51,355030828000097,3550308005140,28,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,JD VITORIA-UBS,"LAJEDO,R, 123",CID TIRADENTES,69642685.000000,3817250.000000,2787954.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
539,347443.69,7402283.86,355030828000143,3550308005139,28,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,JD KERALUX-UBS,"LUCAS GONCALVES,R, 13",ERM MATARAZZO,65466177.000000,3828060.000000,2787547.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
540,351242.41,7391530.52,355030857000090,3550308005205,57,PARQUE DO CARMO,27,ITAQUERA,Leste,Leste 2,GLEBA DO PESSEGO-UBS,"MALMEQUER DO CAMPO,R, 214",PQ DO CARMO,65223177.000000,8265385.000000,2787075.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
541,351263.05,7393464.99,355030857000004,3550308005205,57,PARQUE DO CARMO,27,ITAQUERA,Leste,Leste 2,JD COPA-UBS,"PONTA DE LUCENA,R,330",JD MARABA,65245020.000000,8270340,2774798.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
542,351387.36,7391850.83,355030857000043,3550308005205,57,PARQUE DO CARMO,27,ITAQUERA,Leste,Leste 2,JD HELIAN-UBS,"CARMEM CARDOSO BORDINI,R,184",JD. HELIAN,65217615.000000,8265090.000000,2787431.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
543,350444.70,7394296.87,355030824000120,3550308005203,24,CIDADE LIDER,27,ITAQUERA,Leste,Leste 2,CIDADE LIDER I-AMA,"FRANCISCO MUNHOZ F,DR,AV,379",CIDADE LIDER,67480035.000000,8280000,6135404.000000,1,Municipal,4,ASSISTÊNCIA MÉDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,
544,350444.70,7394296.87,355030824000120,3550308005203,24,CIDADE LIDER,27,ITAQUERA,Leste,Leste 2,CIDADE LIDER I-UBS,"FRANCISCO MUNHOZ F,DR,AV,379",CIDADE LIDER,67480035.000000,8280000,2786907.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
545,350970.77,7393776.86,355030857000072,3550308005205,57,PARQUE DO CARMO,27,ITAQUERA,Leste,Leste 2,STO ESTEVAO-UBS,"CACHOEIRA DA ILHA,R,355",ITAQUERA,65230577.000000,8270110,3004341.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
546,351063.62,7397033.79,355030837000028,3550308005199,37,ITAQUERA,27,ITAQUERA,Leste,Leste 2,V REGINA-UBS,"CATARINA LOPES,R,450",V  REGINA,62056003.000000,8225000,4050029.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
547,351434.05,7396009.19,355030837000019,3550308005202,37,ITAQUERA,27,ITAQUERA,Leste,Leste 2,ITAQUERA-AMA ESPECIALIDADES,"AMERICO SALVADOR NOVELLI,R,265",ITAQUERA,62860015.000000,08210090,6394558.000000,1,Municipal,49,AMA ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,
548,351434.05,7396009.19,355030837000019,3550308005202,37,ITAQUERA,27,ITAQUERA,Leste,Leste 2,ITAQUERA-UBS,"AMERICO SALVADOR NOVELLI,R,265",ITAQUERA,62860015.000000,08210090,2752255.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
549,352537.51,7394415.67,355030847000096,3550308005263,47,JOSE BONIFACIO,27,ITAQUERA,Leste,Leste 2,JOSE BONIFACIO II-UBS,"MURMURIOS DA TARDE,R,30",COHAB JOSE BONIFACIO,65215625.000000,8253580,4049950.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
550,352135.14,7394882.27,355030837000178,3550308005202,37,ITAQUERA,27,ITAQUERA,Leste,Leste 2,V CARMOSINA-AMA,"IPOPOCA,R,61",ITAQUERA,65247796.000000,8290335,6136036.000000,1,Municipal,4,ASSISTÊNCIA MÉDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,
551,352135.14,7394882.27,355030837000178,3550308005202,37,ITAQUERA,27,ITAQUERA,Leste,Leste 2,V CARMOSINA-UBS,"IPOPOCA,R,61",ITAQUERA,65247796.000000,8290335,2788772.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
552,352705.88,7396605.54,355030837000079,3550308005201,37,ITAQUERA,27,ITAQUERA,Leste,Leste 2,V N SRA APARECIDA-UBS,"PAULINO SERQUEIRA,R,01",ITAQUERA,61797871.000000,8215160.000000,2789094.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
553,353078.94,7395907.18,355030847000100,3550308005261,47,JOSE BONIFACIO,27,ITAQUERA,Leste,Leste 2,"LUCY UDAKIRI,DRA (JOSE BONIFACIO III) - AMA","SILVIO BARBINI,R,40",COHAB JOSE BONIFACIO,69446086.000000,8250650,6135900.000000,1,Municipal,4,ASSISTÊNCIA MÉDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,
554,353078.94,7395907.18,355030847000100,3550308005261,47,JOSE BONIFACIO,27,ITAQUERA,Leste,Leste 2,"LUCY UDAKIRI,DRA (JOSE BONIFACIO III) - UBS","SILVIO BARBINI,R,40",COHAB JOSE BONIFACIO,69446086.000000,8250650,4050142.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
555,354695.63,7393684.21,355030831000160,3550308005265,31,GUAIANASES,28,GUAIANASES,Leste,Leste 2,V COSMOPOLITA-UBS,"ALDEIA MARIA,R,258",GUAIANASES,65558583.000000,8421070.000000,2789310.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
556,356430.85,7390807.76,355030825000090,3550308005271,25,CIDADE TIRADENTES,31,CIDADE TIRADENTES,Leste,Leste 2,CIDADE TIRADENTES I - UBS,"TEXTEIS,DOS,AV,512",CIDADE TIRADENTES,62820250.000000,8490600,2774771.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
557,356681.99,7391519.64,355030825000044,3550308005268,25,CIDADE TIRADENTES,31,CIDADE TIRADENTES,Leste,Leste 2,CASTRO ALVES-AMA,"CADERNO DE VIAGEM,R,55",CASTRO ALVES,62820320.000000,8474170.000000,6135366.000000,1,Municipal,4,ASSISTÊNCIA MÉDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,
558,356681.99,7391519.64,355030825000044,3550308005268,25,CIDADE TIRADENTES,31,CIDADE TIRADENTES,Leste,Leste 2,CASTRO ALVES-UBS,"CADERNO DE VIAGEM,R,55",CASTRO ALVES,62820320.000000,8474170.000000,4050177.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
559,326402.68,7397154.76,355030848000104,3550308005058,48,LAPA,8,LAPA,Oeste,Oeste,PINHEIROS/LAPA - SUVIS,"CATAO,R,611, 4 AND",V. ROMANA,36755582.000000,5049000.000000,2815516.000000,1,Municipal,44,SUPERVISAO DE VIGILANCIA EM SAUDE,4,VIGILANCIA EM SAUDE,0,,,
560,358870.52,7391544.92,355030825000289,3550308005270,25,CIDADE TIRADENTES,31,CIDADE TIRADENTES,Leste,Leste 2,DOM ANGELICO-UBS,"MANOEL OLIVEIRA RAMOS,R, S/N",V YOLANDA,65553894.000000,8473000,2786974.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
561,356202.83,7393101.87,355030825000001,3550308005269,25,CIDADE TIRADENTES,31,CIDADE TIRADENTES,Leste,Leste 2,"PRESTES MAIA,PREF-UBS","INACIO PINTO LIMA,R,35",CIDADE TIRADENTES,65552676.000000,8490020,4049969.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
562,354029.67,7395051.45,355030847000027,3550308005262,47,JOSE BONIFACIO,27,ITAQUERA,Leste,Leste 2,FRANCISCO A CESARONI(JD S PEDRO)-UBS,"SILVIANOPOLIS,R,370",JD. SAO PEDRO,65578938.000000,8420680,4049942.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
563,355791.87,7394001.48,355030831000169,3550308005264,31,GUAIANASES,28,GUAIANASES,Leste,Leste 2,JD S CARLOS-AE,"MACABU,R,35",JD. SAO CARLOS,25577021.000000,8411470.000000,4050312.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,
564,355510.07,7395359.83,355030831000057,3550308005265,31,GUAIANASES,28,GUAIANASES,Leste,Leste 2,GUAIANAZES II-UBS,"CARLOS RUHL,CTE,R,189",GUAIANAZES,65578132.000000,8400130,4050010.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
565,355269.13,7396371.29,355030896000038,3550308005258,96,LAJEADO,28,GUAIANASES,Leste,Leste 2,JD AURORA - UBS,"CLAUDIO DA COSTA,R,54",JD AURORA,61351671.000000,8431160,2787202.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
566,354870.76,7397046.97,355030896000097,3550308005257,96,LAJEADO,28,GUAIANASES,Leste,Leste 2,JD ETELVINA-AMA,"MANOEL TEODORO XAVIER,R,138",JD ETELVINA,61351756.000000,8430570,6135838.000000,1,Municipal,4,ASSISTÊNCIA MÉDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,
567,354870.76,7397046.97,355030896000097,3550308005257,96,LAJEADO,28,GUAIANASES,Leste,Leste 2,JD ETELVINA-UBS,"MANOEL TEODORO XAVIER,R,138",JD ETELVINA,61351756.000000,8430570,2787377.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
568,356122.25,7395608.38,355030896000089,3550308005260,96,LAJEADO,28,GUAIANASES,Leste,Leste 2,GUAIANAZES I -UBS,"COSME DEODATO TADEU,PROF,R,90",LAJEADO,65578177.000000,8450380,2787083.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
569,356313.13,7396122.98,355030896000013,3550308005260,96,LAJEADO,28,GUAIANASES,Leste,Leste 2,V CHABILANDIA-UBS,"ESTRADA DO LAGEADO VELHO,76",JD LAJEADO,65579571.000000,8451000.000000,2788780.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
570,356725.52,7396989.59,355030896000077,3550308005259,96,LAJEADO,28,GUAIANASES,Leste,Leste 2,PRIMEIRO DE OUTUBRO-UBS,"FRANCISCO DE OLIVEIRA,R,02",PRIMEIRO DE OUTUBRO,61358010.000000,8441010,2766019.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
571,350540.78,7398098.48,355030837000149,3550308005199,37,ITAQUERA,27,ITAQUERA,Leste,Leste 2,"LUIZ AUGUSTO DE CAMPOS,DR-UBS (V RAMOS)","AUGUSTO ANTUNES,R,1631",LIMOEIRO,61518861.000000,8235630,4050126.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
572,350676.76,7398944.62,355030887000084,3550308005195,87,VILA JACUI,23,SAO MIGUEL,Leste,Leste 2,JD DAS CAMELIAS-UBS,"TREVO STA MARIA,R,79",JD CAMELIAS,61518788.000000,8050570.000000,2787334.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
573,350686.18,7400266.88,355030887000007,3550308005193,87,VILA JACUI,23,SAO MIGUEL,Leste,Leste 2,CIDADE PEDRO JOSE NUNES-UBS,"JOSE BARGAS,R,143",JD. PEDRO JOSE NUNES,62975453.000000,8061240,2046962.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
574,326310.62,7383532.15,355030871000030,3550308005173,71,SANTO AMARO,14,SANTO AMARO,Sul,Sul 2,SANTO AMARO - SUVIS,"JOSE DE ANCHIETA,PE,R,640",JD. STO. AMARO,55210551.000000,4742001.000000,4050274,1,Municipal,44,SUPERVISAO DE VIGILANCIA EM SAUDE,4,VIGILANCIA EM SAUDE,0,,,
575,352279.71,7399277.80,355030887000107,3550308005193,87,VILA JACUI,23,SAO MIGUEL,Leste,Leste 2,SITIO DA CASA PINTADA -AMA,"MARIA SANTANA,AV,101",JD STA MARIA,61530800.000000,8050130.000000,6136001.000000,1,Municipal,4,ASSISTÊNCIA MÉDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,
576,352279.71,7399277.80,355030887000107,3550308005193,87,VILA JACUI,23,SAO MIGUEL,Leste,Leste 2,SITIO DA CASA PINTADA - UBS,"MARIA SANTANA,AV,101",JD STA MARIA,61530800.000000,8050130.000000,2091798.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
577,351955.37,7400096.90,355030887000072,3550308005193,87,VILA JACUI,23,SAO MIGUEL,Leste,Leste 2,V JACUI-UBS,"EPIDO FELICIANO,R,165",VILA JACUI,62978709.000000,8060220.000000,2789000.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
578,352391.16,7397591.20,355030837000110,3550308005200,37,ITAQUERA,27,ITAQUERA,Leste,Leste 2,V SANTANA-UBS,"VITOR JOSE DE CASTRO,R,84",V  SANTANA,61513962.000000,8240300,4050215.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
579,353443.65,7397366.54,355030837000214,3550308005201,37,ITAQUERA,27,ITAQUERA,Leste,Leste 2,PARADA XV DE NOVEMBRO-AMA,"IBIAJARA,R,804",ITAQUERA,62860017.000000,8250110,6135919.000000,1,Municipal,4,ASSISTÊNCIA MÉDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,
580,353443.65,7397366.54,355030837000214,3550308005201,37,ITAQUERA,27,ITAQUERA,Leste,Leste 2,PARADA XV DE NOVEMBRO-UBS,"IBIAJARA,R,804",ITAQUERA,62860017.000000,8250110,2788179.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
581,353659.41,7398717.21,355030874000035,3550308005197,74,SAO MIGUEL,23,SAO MIGUEL,Leste,Leste 2,V PROGRESSO-UBS,"REAL HORTO,R,115",V  PROGRESSO,61352488.000000,8245260,2075016.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
582,353638.21,7399848.78,355030874000136,3550308005197,74,SAO MIGUEL,23,SAO MIGUEL,Leste,Leste 2,CIDADE NOVA SAO MIGUEL-UBS,"MOACIR D. ITAPICURU,1008",CIDADE NOVA S MIGUEL,61513560.000000,8042290,2786915.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
583,351052.59,7401196.31,355030887000036,3550308005194,87,VILA JACUI,23,SAO MIGUEL,Leste,Leste 2,STA INES-UBS,"FIDELIS MOTA,FREI,R, 1001",PQ CRUZEIRO DO SUL,62979669.000000,8070130,2788608.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
584,350868.80,7401884.26,355030887000181,3550308005194,87,VILA JACUI,23,SAO MIGUEL,Leste,Leste 2,UNIAO VILA NOVA I-UBS,"GRAZIELE BALDAK GOMES,R, 36",UNIAO V NOVA,69563837.000000,08072180,2027291.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
585,351378.86,7401354.54,355030887000211,3550308005194,87,VILA JACUI,23,SAO MIGUEL,Leste,Leste 2,UNIAO VILA NOVA-UBS,"ADAO MANOEL DA SILVA,R, 16",SAO MIGUEL PAULISTA,62974782.000000,05280040,2819856.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
586,353319.51,7401039.95,355030874000105,3550308005196,74,SAO MIGUEL,23,SAO MIGUEL,Leste,Leste 2,PAULO FELDMAN (NITRO OPERARIA) - UBS,"CUMARU,R, 14",CID NITRO OPERARIA,69566923.000000,8010380,2788209.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
587,354343.44,7398611.73,355030884000089,3550308005253,84,VILA CURUCA,24,ITAIM PAULISTA,Leste,Leste 2,V NOVA CURUCA-UBS,"NARCEJA,R,51",V  NOVA CURUCA,61352292.000000,8032340,4050207.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
588,355260.15,7397456.03,355030896000101,3550308005257,96,LAJEADO,28,GUAIANASES,Leste,Leste 2,JD ROBRU-UBS (GUAIANASES),"NORDESTINA,AV,5593",JD ROBRU,61351860.000000,8431400,2787717.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
589,354776.20,7400130.63,355030884000061,3550308005253,84,VILA CURUCA,24,ITAIM PAULISTA,Leste,Leste 2,V CURUCA-UBS,"PEDRO MEIRA,R,1",V CURUCA,61354311.000000,8030500,2788802.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
590,355804.31,7398067.59,355030884000084,3550308005252,84,VILA CURUCA,24,ITAIM PAULISTA,Leste,Leste 2,JD ROBRU-UBS (SAO MIGUEL),"JOSE MARIA ALVES DE DEUS,R,288",JD ROBRU,61352406.000000,8150350,2787725.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
591,355669.04,7398977.33,355030884000186,3550308005252,84,VILA CURUCA,24,ITAIM PAULISTA,Leste,Leste 2,PQ STA RITA-UBS,"JOSE PESSOTA,R,80",PQ STA RITA,61353644.000000,8150020.000000,2788446.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
592,356145.58,7399056.43,355030884000192,3550308005248,84,VILA CURUCA,24,ITAIM PAULISTA,Leste,Leste 2,JD CAMPOS - AMA,"CRESCENTE,R,97",COHAB NAZARE,61354034.000000,8152090.000000,6135811.000000,1,Municipal,4,ASSISTÊNCIA MÉDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,
593,356145.58,7399056.43,355030884000192,3550308005248,84,VILA CURUCA,24,ITAIM PAULISTA,Leste,Leste 2,JD CAMPOS- UBS,"CRESCENTE,R,97",COHAB NAZARE,61354034.000000,8152090.000000,2787237.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
594,357144.90,7397888.25,355030884000158,3550308005252,84,VILA CURUCA,24,ITAIM PAULISTA,Leste,Leste 2,DOM JOAO NERY-UBS,"JOAO NERY,D,ESTR,3462",JD NAZARE,65614680.000000,8151000.000000,2786982.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
595,356175.07,7399882.07,355030884000197,3550308005248,84,VILA CURUCA,24,ITAIM PAULISTA,Leste,Leste 2,JARAGUA-UBS,"DOMINGUES VIDIGAL,97",PQ INDUSTRIAL,20618076.000000,8160350,2787970.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
596,356153.89,7400385.84,355030884000174,3550308005248,84,VILA CURUCA,24,ITAIM PAULISTA,Leste,Leste 2,JD SILVIA TELES-UBS,"JOSE ALEXANDRE MACHADO,R,541",ITAIM PAULISTA,65618034.000000,8160460,2787849.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
